Job Number,Angle,Total Shots,000,001,010,011,100,101,110,111,Bobs Fidelity,Eves Fidelity
2868c7e0-fec1-4aee-adf9-3d30924fe2cf,0.5812931463905859,100,1,24,7,4,10,2,2,50,0.8,0.63
43aecd83-3c34-4659-b7d1-a0fcd6dc177e,0.586171539709145,100,7,24,6,5,6,7,2,43,0.79,0.56
d0f41544-ed41-434e-9e1e-b345477b160c,0.5887108625946132,100,5,37,7,2,2,7,2,38,0.84,0.49
8eb3c2fb-81e7-4910-a785-e1b9017b3108,0.589981975702817,100,5,34,5,3,5,7,2,39,0.83,0.49
9c01e6a8-3bef-4ff8-8e8c-1809449bd9ac,0.5959653204810832,100,6,19,5,1,5,3,1,60,0.83,0.67
32c4e130-522f-44e3-92f6-4dab9fc2122c,0.6011243062787337,100,3,27,9,2,5,1,4,49,0.79,0.64
82f006e9-f975-4225-9e45-55e1ca46cb5f,0.603444376857829,100,1,22,6,0,7,2,4,58,0.82,0.68
fd58ebe0-3a9a-4322-8940-b53bcf1b9970,0.6075613901907182,100,3,25,7,3,5,2,3,52,0.82,0.65
b93e6cd8-3e00-41c7-a513-d009b2aa5903,0.6301558391827025,100,4,35,3,6,12,1,5,34,0.76,0.48
d0fb8d5b-a247-4490-b6a4-6e1fcaa60617,0.6350371190200328,100,1,35,8,1,5,0,4,46,0.82,0.59
e518f4b7-2df5-446a-932e-9c057048738c,0.6354340238576472,100,2,29,7,2,2,4,2,52,0.87,0.63
09b907ae-bdd0-456a-a16a-d4ebe2a575ca,0.6424891799141599,100,3,19,4,2,3,4,2,63,0.88,0.71
5d401ac6-bf91-486f-80ba-fcc1bbec2212,0.6482861065705893,100,3,29,3,2,8,3,2,50,0.84,0.57
38c75820-071c-47c2-bd32-a4c708e532ac,0.6623397220134773,100,1,31,7,1,4,2,2,52,0.86,0.62
7f05d07d-acd0-4f2d-901f-4a0152c0ff5a,0.6644869121762106,100,2,37,8,2,4,1,2,44,0.84,0.56
fc0824d8-27c9-46e2-b748-676940bbffd6,0.6683361919726091,100,1,42,6,3,1,1,0,46,0.92,0.55
fcd8f767-2849-4075-96ea-38c8ec9d9dcd,0.6692306906878406,100,2,34,2,1,2,2,1,56,0.93,0.6
f6df989d-668d-4b46-a883-b14abe799839,0.6807385310107801,100,4,37,4,2,4,2,1,46,0.87,0.53
e2f79966-3393-4ac2-bc17-7dd7e406a0ce,0.681235083859286,100,1,40,5,0,1,1,3,49,0.9,0.57
a7c72cbd-ce6d-422b-aa97-6fb5aa8f4f35,0.6935636020382018,100,3,40,3,1,2,3,2,46,0.9,0.52
7742f7eb-412e-4924-8adf-5a7773f58678,0.7046855802986957,100,5,43,5,0,5,1,1,40,0.84,0.46
0fabcd44-1f09-4c33-bdea-feb74dacd659,0.7047037000178522,100,3,39,5,1,3,2,2,45,0.87,0.53
18241db9-1b12-4616-a1d3-5a4bd3acbe77,0.7300041177078527,100,2,43,3,3,0,2,3,44,0.92,0.53
4fea603b-4e19-4ca7-b9bc-19877a487b56,0.7483204318588138,100,1,53,3,1,1,0,2,39,0.93,0.45
2c8eb140-154a-409c-b81a-de2775b0a152,0.7613858487558133,100,6,48,2,4,4,0,0,36,0.88,0.42
2b09f590-46f4-4d10-b744-8e01498b5e11,0.7748839545984121,100,0,51,5,3,4,4,1,32,0.9,0.41
b09afcb1-5bc3-4f14-9467-fec5becfb786,0.7753201733488937,100,1,46,1,3,4,2,3,40,0.91,0.47
f00decfb-906d-4806-88a4-4e803fa88720,0.7754836820529789,100,3,48,5,2,3,1,2,36,0.87,0.45
b7078f47-1a81-4cb3-9cd0-f2dba9fd12f9,0.780295684844526,100,2,51,2,3,3,1,1,37,0.92,0.43
3b02e784-1c12-4595-9786-d2c2c5eea2d7,0.7817809189064375,100,1,48,1,2,4,4,3,37,0.91,0.43
753515bd-d2de-4bac-8295-58525c54d0ff,0.7834162149526446,100,1,43,1,3,0,0,2,50,0.96,0.56
a7f133a1-d0bf-4269-bb40-7e1e401324ce,0.7846988096995592,100,0,47,1,0,1,2,5,44,0.93,0.5
