Job Number,Angle,Bit Value,Basis,Total Shots
b957d281-1655-4490-be90-f0cea896ae10,0.22796595159590802,1,X,100
2ef34e2d-6fa1-419e-a249-57025d7af0fa,0.22966459015517834,1,X,100
4a19a0d6-b895-41d3-ad00-d114228331d2,0.24355346823144103,1,X,100
aa1f029f-6bc8-4b11-a9f3-4b63bab14a43,0.2442069274712826,1,X,100
b55fdfb1-504c-4c9a-aa88-f02bfed765b9,0.2458091949308459,1,X,100
54f0945d-28c5-45dd-b3fc-dbc5a9945054,0.2472508818038228,1,X,100
1494dbb8-80ad-4037-8d85-e45209785904,0.2591712907667537,1,X,100
df1dad95-b124-4d72-8812-a2116624f090,0.26034925308128587,1,X,100
e3fbede6-ceb0-407f-9a42-423122762094,0.30564850032003665,1,X,100
41462d7a-a596-4d1e-b875-c32227ad2241,0.3087832286458241,1,X,100
568bd057-7165-4528-90d3-670eafc3297c,0.3112071564123443,1,X,100
81e91857-9fd8-4ca3-826f-e7361e0f7b79,0.3199663464896717,1,X,100
2f67f92e-3cde-4dbd-a0ac-b4dc4e0c88e6,0.3200153043805127,1,X,100
a7052ea6-3401-4dd6-ae65-3d8cbbd443b6,0.33821015216096395,1,X,100
ab925fd3-f81d-4134-835c-c9097318dd77,0.3399696005274668,1,X,100
9af916bc-b4d2-4e65-bdfe-2521c45743cc,0.368986022030914,1,X,100
6956c659-33d1-4289-b528-74e366f01dde,0.37643232389782566,1,X,100
63077cb7-92fd-4e5a-a506-5b90e79b2ea1,0.39494724036399714,1,X,100
91717d2c-c0fd-43e0-8d05-cd28cfeee797,0.39744357472806036,1,X,100
3c95e470-43e0-45e7-82f8-4bcf3538f3ad,0.40630626694616084,1,X,100
79d5daae-abff-4ab1-970a-ed48c4070265,0.4075643773598979,1,X,100
96a551dc-6702-44b0-8565-bc026127264d,0.41625053744635554,1,X,100
47dd9843-8ac0-42e2-ad32-52402a66d4fd,0.42403530149110924,1,X,100
f072184e-57a3-4c6f-a25a-84f861a5065f,0.4241882597379052,1,X,100
f6916e26-a96f-400e-bea8-279dfeff3aeb,0.4402566733478413,1,X,100
837eeac7-2475-4569-93e4-36242cdc7fde,0.4427338410600122,1,X,100
a719a5bb-81fb-4dc8-86c5-06acd61812f2,0.44490599233495387,1,X,100
3459d657-3a99-452c-b501-d64f5b7d2bbd,0.44515947130622036,1,X,100
891ff8af-7e9d-4c61-9149-13abb1fc8cb6,0.46086559839681646,1,X,100
bb7e7269-cd51-47f0-a19a-717c3d6dc953,0.46314053414763123,1,X,100
fb29dca7-2de6-430c-859f-10a2e0ff4ffe,0.4668397443385767,1,X,100
390cb30c-c45b-455d-9792-78da9001f988,0.47074437309894746,1,X,100
05bdc751-5f47-4b5d-aa6e-d4bef8e4ba4b,0.47764323836222017,1,X,100
37611a25-08ec-4003-81f2-a7cab1907d4b,0.47827373390344546,1,X,100
30f0809d-5019-4f6e-8480-32236ac2d792,0.4821424491237902,1,X,100
52ceb1e1-a247-437c-9e7a-aa469edde4dc,0.4898291008771783,1,X,100
5f554542-0a19-45d2-8d61-64a437046f42,0.48987050900157847,1,X,100
524c380b-3640-4fa6-bd8a-a810f91ff9a7,0.4931881176227096,1,X,100
6d91715a-aabc-43ce-8f7b-65189294daa1,0.49530974789121207,1,X,100
16266ec5-765d-4979-bffb-a57c943d2111,0.5004607023326596,1,X,100
622ea5a5-365d-4454-aa42-b8d988a75773,0.5044270861192967,1,X,100
293e4eee-1b6d-47d1-81cb-88ffaf628aa1,0.5088660034480906,1,X,100
47be8fa0-c398-4548-8a98-db9c60720ffa,0.5089993674102504,1,X,100
49f58787-2f49-4e7c-8904-92650165229b,0.5118569080957525,1,X,100
293e0c02-5c13-4ba8-99e4-dc8d5a1e7947,0.5241002848701467,1,X,100
68efe58c-2622-4089-8f24-fb1e6ba85767,0.5305620591271886,1,X,100
a91cd43c-a092-4dc9-9980-455551ab2272,0.5498117352981451,1,X,100
082ca154-8c2e-4594-9ab6-cda73ef6c696,0.5532956547786624,1,X,100
