Job Number,Angle,Total Shots,000,001,010,011,100,101,110,111,Bobs Fidelity,Eves Fidelity
13034d7f-a991-4696-b6ee-4d8fac1174c6,0.594355127194406,100,54,2,0,3,2,6,29,4,0.85,0.64
a308bd6b-441d-4181-8f4d-b5e4a8260ea3,0.595696475891087,100,55,2,2,5,2,6,23,5,0.82,0.65
8d0137f7-6ce5-4c49-a451-6228bf25bb33,0.6016947588449236,100,62,2,1,4,2,3,25,1,0.9,0.69
4b9d9868-7de3-4eda-b439-4626d3b08ad6,0.6149132499063648,100,60,2,0,2,1,3,27,5,0.88,0.66
5bedc906-19cb-4a42-97fa-85cef0c808f6,0.6353837043783946,100,58,3,1,5,3,0,27,3,0.89,0.64
afb78c91-f511-4e88-8ff3-09c20ea4ac1a,0.6360656259515303,100,52,4,2,2,0,5,30,5,0.84,0.61
fe271d4a-d4c4-45a1-8827-a91f290b3115,0.6492739904379087,100,44,1,3,2,4,6,34,6,0.85,0.55
30ae863c-0c52-4e4d-9fa4-522ea151e3c0,0.6702122140022793,100,39,6,2,1,1,8,40,3,0.82,0.54
89febaa6-7eab-4808-960f-4b0da2706408,0.6814330893238428,100,53,0,1,3,2,2,33,6,0.89,0.57
a451066a-f7ef-4f88-9ecc-54fc3c5a5fd0,0.6891548597038819,100,59,2,1,2,3,0,30,3,0.93,0.64
ed273b92-deca-47b9-802b-c260b9509951,0.6960170411659035,100,44,2,1,4,1,2,44,2,0.9,0.49
03a8aa3e-d1d9-4892-b8b2-19918de9942a,0.710468774519231,100,51,1,2,2,0,7,32,5,0.85,0.59
e7bb6529-e72b-4671-b89d-7bee5463c7f4,0.7186434082001683,100,43,2,3,4,1,3,38,6,0.85,0.49
8f0332e1-caa6-40d6-ba9e-9b9f08ac0a9d,0.7367940516497145,100,40,2,4,2,5,3,41,3,0.9,0.5
59d3f5e3-2d38-4e41-b57e-b9b9ad7488f9,0.7386440877852913,100,42,2,3,2,3,4,41,3,0.89,0.51
b01982f3-8c92-4e8e-bb63-32d25df7d200,0.7632180063032641,100,37,2,2,1,3,5,45,5,0.87,0.47
a119daae-bfb9-40b3-ad4e-4ef274648fa8,0.7673711472335255,100,47,6,3,4,0,1,37,2,0.87,0.54
1ce9e2e0-6e70-40bb-b739-97f79de17ead,0.7700314716000934,100,41,2,2,5,3,3,42,2,0.88,0.49
347bf0e2-1110-4bc3-aa31-a2908a1c36f7,0.7709188276847215,100,43,3,2,2,1,4,40,5,0.86,0.51
9fb5d949-754d-4526-afb3-df2954c139c5,0.7746083228030765,100,43,5,2,1,1,3,44,1,0.9,0.52
39e3ebcf-2c7b-40aa-aee9-2b9e0ce30afd,0.7848182398905066,100,42,2,2,2,3,6,41,2,0.88,0.53
